0600      MUESTRAS                      
06AN      ANTIFAZ                       
06AP      APARATITO DE AUTO             
06AR      ARO DIFUSOR                   
06AS      CREMA AFTER SHAVE             
06AT      ATENAS                        
06AU      AUTOS                         
06AV      ACEITE VEHICULAR              
06B1      BASE COMPACTA                 
06BA      BAÑO                          
06BB      PACK B                        
06BC      BLISTER X 20 UNIDADES/BODY+CRE
06BD      BODY                          
06BE      BUTTER                        
06BG      BODY SPLASH EN GEL            
06BI      BIAPÍ                         
06BJ      BOMBA JABÓN LÍQUIDO           
06BL      BLISTER VACIO                 
06BM      MASSAGE (BARRAS DE MASAJE)    
06BN      BRONCEADOR PARA PIEL NORMAL  (
06BO      BOMBAS                        
06BP      BRONCEADOR P/PIEL SENSIBLE (25
06BR      BERRETA                       
06BS      BODY SPLASH                   
06BT      BODY TOUCH                    
06BU      BURBUJAS                      
06BV      BOLSA VILLONE                 
06BÑ      BAÑADERA                      
06C0      FCO VIDRIO CANELA X 50ML      
06C1      CR EXFOLIANTE P/CODOS Y TALONE
06C2      CREMA ANTIAGE                 
06C3      CREMA ANTIRRADICALES LIBRES   
06C5      CREMA TENSORA CUELLO/BRAZOS/BU
06C6      CREMA REDUCTORA  MODELING     
06CA      CARTONCITOS/CATÁLOGO/CAMPANITA
06CB      CREMA BRILLITOS               
06CC      CREMA P/MANOS Y CUERPO / PACK 
06CD      CREMA USO DIURNO              
06CE      CREMA EXFOLIANTE              
06CF      CAJA ESENCIA AROMATERAPIA     
06CG      CREMA P/CUTIS GRASO           
06CH      REDUCTORA 1                   
06CI      CIEGA                         
06CJ      CREMA REAFIRMANTE HUMECTANTE  
06CK      CREMA P/CELULITIS C/CENTELLA  
06CL      CREMA DE LIMPIEZA             
06CM      CREMA DE MANOS                
06CN      CREMA P/USO NOCTURNO          
06CO      COLONIA                       
06CP      CREMA LINEA PROFESIONAL       
06CQ      CREMA REDUC. C/CAFEINA Y CENTE
06CR      CREMA                         
06CS      CREMAS P/MANOS - SEDATIVA     
06CT      CR. TERMOGENICA               
06CU      CUADRADO                      
06CV      CREAM GEL                     
06CX      CUBRE FERULA P BRILLO         
06CY      CREAMY                        
06CÑ      CREMA PARA PARPADOS           
06DA      DIFUSOR AMBIENTAL             
06DC      PACK DEO COLONIA              
06DD      PACK D                        
06DE      DESODORANTE                   
06DI      DILUYENTE INDUSTRIAL/DIAMANTE 
06DJ      DIPENSER JABÓN LÍQUIDO        
06DL      DELINEADOR                    
06DP      DISPOSITIVO                   
06E1      EMULSION SOLAR                
06EC      ESENCIA + CORAZON             
06ED      ESENCIA/DILUYENTE 505         
06EE      PACK E                        
06EH      ESENCIA HORNITO X 10 ML EN CAJ
06EL      ELLE                          
06EM      EMULSIONANTE                  
06EN      ENGRIMPADORA                  
06EP      ESPATULAS                     
06ES      ESPUMA DE BAÑO                
06ET      ETIQUETAS                     
06EU      EUGENIA                       
06EV      ESENCIA USO VETERINARIO       
06EX      EXPO                          
06FA      FANALES                       
06FE      FERRARI/FECULA                
06FF      PACK F                        
06FI      FIZZ (SAL EFERVESENTE)        
06FL      FLETE                         
06FP      FLIP TOP                      
06GA      GATILLO                       
06GB      GEL CON BRILLOS               
06GC      GEL CRIOGENICO REDUCTOR       
06GD      GEL FLEBOLOGICO               
06GE      GEL DE DUCHA                  
06GF      GEL REFRESCANTE - RELAJANTE MU
06GG      GOTERO                        
06GH      GEL REGENERADOR               
06GI      GILDA                         
06GL      GEL AFTER SHAVE               
06GM      GEL MENTOL/ALCAFORT/EUCALIPTO 
06GN      GEL NEUTRO P/APARATOLOGIA     
06GO      GEL LIPOREDUCTOR CT           
06GP      GEL P/CELULITIS C/CENTELLA    
06GR      GEL REDUCTO ALGAS/CAFEINA     
06GS      GEL  CRIOGENICO SUAVE ( 028)  
06GT      GATITOS PORTA ANILLOS         
06GU      GUARNICION                    
06HO      HORNITOS                      
06HP      HOJAS PAPEL                   
06HS      PACK HORNITO+SOLIDA           
06HT      HOTEL                         
06HY      HYDRA                         
06IM      IMPRESIÓN                     
06IN      INTER                         
06J1      JABÓN LÍQUIDO ANTESÉPTICO     
06JA      JABON                         
06JD      JABÓN DIBUJADO                
06JG      JABON GLICERINA               
06JK      FRASCO JACKIE X 15            
06JL      JABÓN LÍQUIDO                 
06JU      JUSTINE                       
06KI      KIAMA                         
06LA      LABIAL                        
06LB      LAMPARA BERGE                 
06LI      LIMPIEZA                      
06LL      LLENADO                       
06LM      LLENADO LAMPARA               
06MA      MASAJEADOR                    
06MB      MINIBOLSO                     
06MC      MACETITAS                     
06MD      FCO PVC MC X 30ML RS 18/415   
06ME      MECHAS APARATO                
06MF      MASCARILLA FACIAL             
06MI      MIRACLES                      
06MM      FCO MARTINA X 100CC           
06MN      MANOPLA                       
06MO      MANO DE OBRA                  
06MP      MINIPORTACOSMETICOS           
06MR      MARLENE                       
06MU      MULTIUSO                      
06NE      NECESAIRE                     
06OC      FCO OCEANO X 50ML             
06OD      ODETTE                        
06OM      OMEGA                         
06OS      OSTRA                         
06OV      OVAL                          
06P1      PROMO 1                       
06P2      PROMO 2                       
06P3      PROMO 3                       
06P4      PROMO 4                       
06P5      PACK SOFT CARE                
06PA      PERFUMADOR PARA AUTOS         
06PB      PALITOS BAMBOO                
06PC      PACK COLONIA / C              
06PD      PERFUME+DEO                   
06PE      PERFUME                       
06PF      PERFUMERITOS                  
06PG      PACK  GEL + ESPONJA           
06PH      BOMBON PERFUMADO              
06PI      PISO                          
06PL      PLUMITAS                      
06PM      PRIMAVERA                     
06PN      POST SOLAR                    
06PO      POTE                          
06PP      PIECITAS PERFUMADAS           
06PPC     PPC                           
06PR      PERFUMADOR DE ROPA            
06PS      PACK SHAMPOO                  
06PT      PORTACOSMETICO RED            
06PV      POSA VELA                     
06PW      POLVO                         
06QU      QUITA ESMALTE                 
06RA      REPUESTO AUTO                 
06RC      REPELENTE CITRONELA           
06RD      RESPUESTO DIFUSOR             
06RE      RESINA                        
06RI      RIMEL                         
06RJ      REPUESTO JABON LIQUIDO        
06RN      RINO X 55CC                   
06RP      REPUESTO PERFUMADOR           
06RR      PERROS                        
06RS      RESINA                        
06RU      RUBOR                         
06S1      SAUNA                         
06S2      FRASCO SUECIA                 
06SA      SALES DE BAÑO                 
06SC      SUJETA CEPILLO                
06SD      SOMBRAS DUO                   
06SE      SET                           
06SH      SHAMPOO                       
06SI      SILICONA                      
06SM      SAHUMERIOS                    
06SN      SANDALIA TOALLA               
06SP      SPRAY                         
06SR      SCRUB EMOLIENTE               
06ST      ST                            
06SU      SUSHI                         
06TA      TAU/ TAPONES                  
06TE      TELMA                         
06TI      TIRAS                         
06TO      TOALLA C/BRODERY              
06TR      CREMA TRIFASE                 
06TU      TUTORES                       
06UN      UNICAS                        
06VA      VASIJA/VASELINA               
06VB      VARILLA BAMBOO                
06VE      VELAS                         
06VI      VINCHA                        
06VL      FCO VIAL                      
06VS      VASELINA LIQUIDA              
06VT      VINCHA TOALLA                 
